year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,16.7288,221,5.95616,32,15.57,239,5.9826,33,18,11.2,56,175,193,143,236,p0013,Simstrat
2014,18.8262,208,4.12694,94,14.694,253,4.1788,95,64,29.6666666666667,89,185,249,153,249,p0013,Simstrat
2015,18.393,205,4.74206,42,14.597,265,4.8773,47,91,32,96,147,238,118,238,p0013,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0014,Simstrat
2010,24.1094,179,3.55536,364,15.74,273,3.9329,364,138,81.5,163,128,266,102,266,p0014,Simstrat
2011,19.9084,179,0.245322,356,14.22,273,1.1582,56,158,158,158,110,268,110,268,p0014,Simstrat
2012,18.8544,193,0.69793,22,15.272,244,1.6799,32,48,31.75,127,152,200,102,240,p0014,Simstrat
2013,23.693,221,6.68538,32,17.308,262,6.7207,33,176,176,176,83,259,83,259,p0014,Simstrat
2014,27.7148,200,6.2739,36,16.018,285,6.2904,58,147,54,162,135,282,112,282,p0014,Simstrat
2015,25.4232,205,5.67472,42,14.361,291,5.8891,46,197,99,198,92,289,90,289,p0014,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0015,Simstrat
2010,25.2784,179,1.03554,361,7.0947,328,3.9898,364,232,119.5,239,87,319,77,319,p0015,Simstrat
2011,21.045,179,0.0444166,352,5.5559,320,2.8582,83,203,203,203,105,308,105,308,p0015,Simstrat
2012,19.6666,193,0.0293512,21,7.4461,348,2.4033,55,245,245,245,97,342,97,342,p0015,Simstrat
2013,24.8658,221,6.58386,32,7.8045,346,6.6234,34,267,90.3333333333333,271,67,334,59,334,p0015,Simstrat
2014,29.108,200,6.29092,36,9.0654,338,6.3258,40,226,113.5,227,98,324,95,324,p0015,Simstrat
2015,26.1138,168,6.003,42,7.77,341,6.1618,48,258,258,258,71,329,71,329,p0015,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0016,Simstrat
2010,15.3386,183,2.44756,364,12.921,251,2.7628,364,82,46,92,163,245,149,245,p0016,Simstrat
2011,11.3146,252,0.0292096,66,11.202,256,0.31144,71,17,17,17,174,191,174,191,p0016,Simstrat
2012,11.9024,286,0.0165532,21,11.61,289,0.94026,32,4,4,4,192,196,192,196,p0016,Simstrat
2013,16.534,221,6.02006,32,14.124,258,6.0539,34,112,112,112,143,255,143,255,p0016,Simstrat
2014,18.8224,200,4.05264,93,13.082,285,4.1605,95,128,128,128,153,281,153,281,p0016,Simstrat
2015,18.4442,205,4.82192,42,12.706,280,4.9241,47,132,36.25,145,146,278,118,278,p0016,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0017,Simstrat
2010,22.7216,179,3.3117,364,13.612,293,3.6489,364,183,92,184,105,288,102,288,p0017,Simstrat
2011,18.377,179,0.225562,355,12.281,284,0.91797,63,157,79.5,159,122,279,119,279,p0017,Simstrat
2012,17.4044,193,0.204446,22,14.024,278,1.4566,32,95,67,134,152,247,106,247,p0017,Simstrat
2013,22.5106,221,6.6254,32,15.279,273,6.6614,34,188,188,188,83,271,83,271,p0017,Simstrat
2014,26.579,199,6.04896,55,14.066,299,6.095,58,160,58.6666666666667,176,136,296,112,296,p0017,Simstrat
2015,24.0814,205,5.57636,42,12.864,294,5.7608,47,200,100.5,201,93,293,90,293,p0017,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0018,Simstrat
2010,23.6712,179,2.99986,364,9.6472,315,3.4468,364,211,106,212,100,311,97,311,p0018,Simstrat
2011,19.3324,179,0.0783222,6,7.6576,314,1.5082,75,194,97.5,195,114,308,112,308,p0018,Simstrat
2012,18.0314,193,0.057702,20,11.351,319,1.5868,50,209,209,209,103,312,103,312,p0018,Simstrat
2013,23.283,221,6.78462,32,11.124,319,6.8178,34,232,232,232,80,312,80,312,p0018,Simstrat
2014,27.4498,199,6.2213,54,11.137,313,6.2315,60,202,202,202,108,310,108,310,p0018,Simstrat
2015,24.6586,205,5.7744,42,9.9045,322,5.9541,47,226,226,226,90,316,90,316,p0018,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0019,Simstrat
2010,18.7156,179,2.89386,364,16.852,234,3.1507,364,38,11.8,59,170,208,139,225,p0019,Simstrat
2011,15.346,241,0.1503332,355,14.749,234,0.47857,56,32,7.8,39,152,184,140,242,p0019,Simstrat
2012,14.5294,194,0.416704,22,13.981,223,1.2477,31,16,5,20,180,196,171,207,p0019,Simstrat
2013,19.6698,221,6.154,32,17.668,238,6.1789,33,17,8.57142857142857,60,174,191,142,234,p0019,Simstrat
2014,22.4558,200,5.14498,90,17.618,246,5.1937,92,57,29.3333333333333,88,187,244,150,244,p0019,Simstrat
2015,21.41,205,5.00228,42,16.984,236,5.1857,46,87,25.25,101,145,232,117,232,p0019,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0020,Simstrat
2010,19.975,179,2.86252,364,11.832,299,3.2358,364,165,91.5,183,131,296,108,296,p0020,Simstrat
2011,15.3728,176,0.0458296,43,10.647,286,0.82006,73,140,140,140,139,279,139,279,p0020,Simstrat
2012,14.4728,193,0.010873868,19,12.753,290,1.2691,50,88,16.3333333333333,98,160,248,117,275,p0020,Simstrat
2013,20.2836,221,6.44268,32,13.359,281,6.4767,34,158,46,184,119,277,85,277,p0020,Simstrat
2014,23.8336,200,5.37526,90,12.222,304,5.4272,93,162,81.5,163,140,302,138,302,p0020,Simstrat
2015,22.1874,205,5.32466,42,11.443,301,5.4713,47,192,192,192,103,295,103,295,p0020,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0021,Simstrat
2010,16.9956,183,2.59638,364,12.474,277,2.9419,364,124,124,124,141,265,141,265,p0021,Simstrat
2011,12.0312,233,0.0316002,41,11.626,257,0.46719,72,83,42,84,154,237,152,237,p0021,Simstrat
2012,12.3304,286,0.0301906,22,11.987,290,1.0737,50,21,11,22,177,198,171,198,p0021,Simstrat
2013,17.9354,221,6.17912,32,13.498,271,6.2139,34,127,127,127,141,268,141,268,p0021,Simstrat
2014,20.8812,200,4.594,94,12.504,299,4.6332,96,146,146,146,149,295,149,295,p0021,Simstrat
2015,20.0002,205,5.01338,42,11.965,292,5.1304,47,175,88,176,115,290,113,290,p0021,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0022,Simstrat
2010,16.3878,183,1.97256,357,10.837,296,2.856,364,142,72,144,146,288,141,288,p0022,Simstrat
2011,11.1898,233,0.0252122,347,10.233,268,0.64896,76,95,95,95,162,257,162,257,p0022,Simstrat
2012,11.8354,286,0.0239544,22,11.247,291,1.0626,51,21,5.28571428571429,37,177,198,177,277,p0022,Simstrat
2013,17.3544,221,6.15374,32,11.975,281,6.1866,35,136,136,136,141,277,141,277,p0022,Simstrat
2014,20.1334,200,4.35976,94,10.992,305,4.4168,96,153,153,153,149,302,149,302,p0022,Simstrat
2015,19.2776,205,4.9643,42,10.732,296,5.0619,47,178,89.5,179,115,293,113,293,p0022,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0023,Simstrat
2010,22.6556,179,3.35114,364,17.367,239,3.6311,364,100,19,114,138,238,107,238,p0023,Simstrat
2011,18.5686,179,0.13775,356,16.336,249,1.0461,56,67,8.33333333333333,75,136,203,111,242,p0023,Simstrat
2012,17.7022,193,0.831404,22,15.65,230,1.6123,32,34,5.76923076923077,75,163,197,106,234,p0023,Simstrat
2013,22.5702,221,6.47404,32,18.7,242,6.5035,34,77,14.125,113,139,216,85,240,p0023,Simstrat
2014,26.2558,198,6.02106,54,17.106,258,6.0551,57,111,15.375,123,146,257,120,271,p0023,Simstrat
2015,24.4736,205,5.41552,42,17.244,275,5.6344,46,128,82,164,145,273,107,273,p0023,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0024,Simstrat
2010,21.534,179,3.2034,364,14.85,265,3.5138,364,123,27.6,138,137,260,107,260,p0024,Simstrat
2011,17.1234,179,0.1086944,355,14.106,259,0.75741,58,119,60,120,138,257,136,257,p0024,Simstrat
2012,16.4332,193,0.200516,22,14.021,240,1.3362,32,35,19.2,96,163,198,107,236,p0024,Simstrat
2013,21.5292,221,6.47276,32,16.267,261,6.505,34,120,16.1111111111111,145,139,259,85,259,p0024,Simstrat
2014,25.1938,200,5.78924,86,15.107,286,5.8349,91,141,71,142,140,281,138,281,p0024,Simstrat
2015,23.4226,205,5.39968,42,13.925,289,5.5835,47,181,91,182,106,287,103,287,p0024,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0025,Simstrat
2010,16.4446,183,2.5152,364,12.101,279,2.8736,364,119,31.25,125,147,266,141,273,p0025,Simstrat
2011,11.575,233,0.0184676,66,11.214,257,0.47215,73,80,80,80,156,236,156,236,p0025,Simstrat
2012,12.0914,286,0.02501,1,11.703,290,1.0183,50,20,20,20,178,198,178,198,p0025,Simstrat
2013,17.511,221,6.14194,32,13.079,272,6.1765,35,128,128,128,141,269,141,269,p0025,Simstrat
2014,20.2762,200,4.42168,94,12.078,300,4.4608,95,148,148,148,150,298,150,298,p0025,Simstrat
2015,19.4354,205,4.96058,42,11.666,292,5.0675,47,174,174,174,116,290,116,290,p0025,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0026,Simstrat
2010,21.8752,179,2.59154,361,8.9842,316,3.2983,364,211,211,211,100,311,100,311,p0026,Simstrat
2011,17.4232,179,0.0644626,25,7.2972,312,1.5726,78,171,171,171,131,302,131,302,p0026,Simstrat
2012,16.4048,193,0.0516608,21,10.757,323,1.4918,51,203,203,203,112,315,112,315,p0026,Simstrat
2013,21.7554,221,6.61534,32,10.448,320,6.6504,36,230,230,230,82,312,82,312,p0026,Simstrat
2014,25.6542,200,5.82644,86,10.296,316,5.8829,91,193,100,200,119,312,111,312,p0026,Simstrat
2015,23.244,205,5.5468,42,9.2925,323,5.7022,47,224,112.5,225,92,316,90,316,p0026,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0027,Simstrat
2010,26.0342,179,2.12762,361,7.386,328,3.8334,364,233,121.5,243,87,320,76,320,p0027,Simstrat
2011,21.8204,179,0.0609916,40,5.8062,321,2.6176,79,206,206,206,103,309,103,309,p0027,Simstrat
2012,20.6522,193,0.0598726,22,7.8538,347,2.1175,52,245,245,245,97,342,97,342,p0027,Simstrat
2013,25.472,221,6.69764,30,8.0739,346,6.7849,35,270,92,276,67,337,58,337,p0027,Simstrat
2014,30.3,200,6.45976,36,9.5377,329,6.5041,37,228,228,228,95,323,95,323,p0027,Simstrat
2015,26.8898,168,6.12374,42,8.1065,341,6.3054,49,261,261,261,69,330,69,330,p0027,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0028,Simstrat
2010,20.9706,179,0.347518,357,6.5937,325,3.9867,364,209,105,210,102,311,102,313,p0028,Simstrat
2011,16.2766,179,0.0320986,345,5.4521,314,2.7191,96,157,157,157,136,293,136,293,p0028,Simstrat
2012,15.0706,193,0.0285036,8,7.1865,347,2.3462,82,215,109,218,125,340,119,340,p0028,Simstrat
2013,21.081,221,6.19374,32,7.4229,340,6.2294,35,248,124.5,249,79,327,74,327,p0028,Simstrat
2014,24.7638,200,5.49168,86,8.0108,337,5.5429,92,215,215,215,108,323,108,323,p0028,Simstrat
2015,22.55,205,5.34782,42,7.0731,340,5.4682,49,235,235,235,90,325,90,325,p0028,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0029,Simstrat
2010,17.9868,183,2.76804,364,13.425,261,3.0875,364,114,114,114,139,253,139,253,p0029,Simstrat
2011,13.3226,179,0.0284684,43,12.645,256,0.51491,69,86,29.6666666666667,89,149,235,141,235,p0029,Simstrat
2012,12.9724,194,0.0518592,22,12.594,289,1.0941,32,29,6.8,34,169,198,167,218,p0029,Simstrat
2013,18.8876,221,6.23362,32,14.665,264,6.27,34,119,119,119,141,260,141,260,p0029,Simstrat
2014,21.99,200,4.90696,90,13.652,289,4.9251,96,135,135,135,149,284,149,284,p0029,Simstrat
2015,20.8672,205,5.08838,42,12.838,288,5.2335,47,171,171,171,113,284,113,284,p0029,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0030,Simstrat
2010,15.916,183,2.49318,364,12.57,255,2.823,364,102,102,102,148,250,148,250,p0030,Simstrat
2011,11.5066,250,0.01929842,68,11.329,256,0.37334,73,28,10,30,165,193,165,201,p0030,Simstrat
