year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2011,25.883674621582,180,4.5326742433244e-30,93,19.4640502929688,251,7.03745409340118e-30,93,140,71,142,110,250,110,274,p0004,GOTM
2012,24.9931888580322,190,3.44706304753124e-15,78,19.0750389099121,248,5.3525011435877e-15,78,132,67,134,115,247,115,256,p0004,GOTM
2013,26.4485168457031,208,1.11496821343794e-24,98,19.8481903076172,258,1.73108268130423e-24,98,137,69,138,121,258,118,258,p0004,GOTM
2014,28.6773262023926,206,-0.25441786646843,359,19.3940830230713,254,2.99280045190642e-11,65,143,36,144,109,252,106,258,p0004,GOTM
2015,25.8961563110352,185,5.55105046373683e-08,55,19.4913711547852,248,8.62002025314723e-08,55,138,46.6666666666667,140,110,248,101,254,p0004,GOTM
2010,21.260440826416,225,-0.26273101568222,330,17.7591323852539,233,-0.00274568679742515,334,59,9,63,173,232,150,232,p0005,GOTM
2011,18.9089698791504,217,-1.27454754874139e-16,0,16.9879627227783,231,-1.97928412246399e-16,0,74,25,75,154,228,152,239,p0005,GOTM
2012,18.4663257598877,229,-0.0718559473752975,0,17.1940841674805,235,4.28448014402207e-38,94,73,41,82,160,233,141,233,p0005,GOTM
2013,19.3664455413818,208,9.9492190967062e-44,117,16.3385219573975,241,1.5414283107573e-43,117,56,15,90,147,203,139,256,p0005,GOTM
2014,21.9967060089111,208,-0.324382275342941,359,15.548789024353,237,-0.362731963396072,359,53,11.6666666666667,70,183,236,138,248,p0005,GOTM
2015,17.9162464141846,236,-0.0339818894863129,73,16.63450050354,241,-0.000547981529962271,0,38,16.25,65,171,209,163,240,p0005,GOTM
2010,30.1841506958008,194,0.014221060089767,333,19.8468627929688,244,0.901033818721771,364,2,0.666666666666667,2,248,250,248,267,p0006,GOTM
2011,27.6760425567627,180,3.82118542690541e-24,87,20.1919345855713,252,5.9328899451047e-24,87,143,48.6666666666667,146,108,251,108,274,p0006,GOTM
2012,26.630802154541,190,2.6392210639159e-10,73,19.8268871307373,249,4.0981576465704e-10,73,135,28.4,142,114,249,106,259,p0006,GOTM
2013,27.7742347717285,208,1.02357623131042e-20,93,20.5619659423828,259,1.58921655134096e-20,93,141,141,141,117,258,117,258,p0006,GOTM
2014,30.2174758911133,206,-0.363048076629639,359,20.4870414733887,255,2.26444808504311e-06,63,146,29.6,148,106,252,104,262,p0006,GOTM
2015,27.5753555297852,185,0.00174300977960229,52,20.14967918396,249,0.00920756999403238,52,141,37.25,149,108,249,100,259,p0006,GOTM
2010,24.8819122314453,194,-0.00398685270920396,332,17.58180809021,240,0.210266873240471,364,NA,NA,NA,NA,NA,NA,NA,p0007,GOTM
2011,21.7342796325684,189,-0.0267901197075844,364,16.8245182037354,251,1.57730155144401e-41,107,122,122,122,128,250,128,250,p0007,GOTM
2012,21.3112201690674,210,-0.0573435686528683,337,16.7821235656738,248,1.17128390877792e-25,93,120,60.5,121,127,247,127,255,p0007,GOTM
2013,22.3737392425537,208,4.03971949807022e-34,112,17.026195526123,259,6.27178903820737e-34,112,129,129,129,128,257,128,257,p0007,GOTM
2014,25.2478256225586,208,-0.364952057600021,12,16.6618881225586,255,2.69096642196662e-23,79,107,28.5,114,135,242,117,254,p0007,GOTM
2015,21.7300472259521,184,-0.23102679848671,79,17.0557384490967,249,1.55625098701237e-17,67,109,40.3333333333333,121,139,248,125,253,p0007,GOTM
2010,28.8610610961914,194,-0.141626939177513,332,19.3988761901855,244,0.795342326164246,364,1,0.333333333333333,1,249,250,249,267,p0008,GOTM
2011,26.1495971679688,180,9.26997363813711e-28,93,19.4081172943115,252,1.43926044746771e-27,93,141,71.5,143,110,251,110,274,p0008,GOTM
2012,25.302303314209,190,2.1308038070534e-13,78,18.9930229187012,249,3.30863564627568e-13,78,134,45.3333333333333,136,115,249,110,256,p0008,GOTM
2013,26.4843006134033,208,1.49380436506642e-23,98,19.7879867553711,259,2.31924995694451e-23,98,141,141,141,117,258,117,258,p0008,GOTM
2014,28.8397617340088,206,-0.246848195791245,12,19.5786094665527,255,8.79737349634979e-09,65,146,49,147,106,252,106,258,p0008,GOTM
2015,26.1853046417236,185,-0.0342591665685177,55,19.301342010498,250,0.00123809056822211,54,139,35.25,141,110,249,101,254,p0008,GOTM
2010,26.3146381378174,225,-0.0752432718873024,332,19.891263961792,235,4.49579748429407e-11,364,1,0.5,1,249,250,243,250,p0009,GOTM
2011,23.7471485137939,189,0,81,20.2726364135742,230,0,82,100,14.375,115,127,227,111,246,p0009,GOTM
2012,23.1904602050781,229,-0.0650750175118446,0,20.2954063415527,235,6.0597474561342e-24,74,78,22.6,113,157,235,120,255,p0009,GOTM
2013,25.9417037963867,208,6.26697239500358e-32,99,19.9441623687744,242,9.73006867784387e-32,99,107,23.6,118,127,234,127,256,p0009,GOTM
2014,27.0093612670898,206,-0.390761822462082,359,19.2506370544434,235,-0.11966447532177,360,58,16,112,177,235,109,258,p0009,GOTM
2015,23.4287204742432,185,-0.000395420560380444,0,19.9942226409912,243,-0.000592710683122277,0,79,8.81818181818182,97,162,241,117,254,p0009,GOTM
2010,22.6790523529053,194,-0.310512840747833,331,17.1984615325928,237,1.8691395098358e-08,364,NA,NA,NA,NA,NA,NA,NA,p0010,GOTM
2011,19.9265670776367,217,0,87,16.5423069000244,249,0,88,92,23,92,151,243,140,246,p0010,GOTM
2012,19.3404521942139,210,-0.236669436097145,97,16.3337459564209,244,4.84125511676236e-34,96,81,19,95,159,240,140,255,p0010,GOTM
2013,20.1281719207764,208,4.29624096177346e-41,117,16.0475921630859,254,6.6696201708004e-41,117,108,36.3333333333333,109,136,244,136,256,p0010,GOTM
2014,23.4996032714844,208,-0.1722402125597,13,15.6929998397827,239,4.76826311959947e-17,70,59,12.8571428571429,90,178,237,137,254,p0010,GOTM
2015,19.4672050476074,185,-0.393947690725327,361,16.5750141143799,245,3.10748909374338e-30,65,82,11.7142857142857,82,162,244,141,244,p0010,GOTM
2010,21.4136486053467,225,-0.216087847948074,330,18.5498752593994,228,-0.127709925174713,330,34,5.42857142857143,38,173,207,161,228,p0011,GOTM
2011,18.9255542755127,217,-1.29493047017478e-16,0,18.7635593414307,210,-2.01093337618925e-16,0,32,11.5,46,178,210,154,238,p0011,GOTM
2012,18.656421661377,229,-0.0856579691171646,338,17.9415664672852,219,-0.002340835519135,2,17,5.375,43,185,202,144,230,p0011,GOTM
2013,20.0799217224121,208,4.20389539297445e-44,112,17.0852375030518,230,6.58610278232664e-44,112,20,7,63,206,226,139,251,p0011,GOTM
2014,21.671293258667,209,-0.254927635192871,359,17.0217914581299,232,-0.290365248918533,359,47,10.1666666666667,61,185,232,138,254,p0011,GOTM
2015,17.8162536621094,236,-0.00030290219001472,0,17.3332538604736,239,-0.000457260146504268,0,24,12,48,215,239,164,239,p0011,GOTM
2010,23.8499736785889,225,-0.368055313825607,330,19.6568183898926,229,-0.265113204717636,330,33,6.28571428571429,44,173,206,168,249,p0012,GOTM
2011,20.8135509490967,189,-1.90289233853349e-16,0,20.3364906311035,210,-2.95505628388249e-16,0,32,6.88888888888889,62,178,210,115,246,p0012,GOTM
2012,20.7682304382324,229,-0.146308377385139,0,19.5611991882324,217,2.07338028233454e-33,76,19,5.9,59,159,178,141,242,p0012,GOTM
2013,23.437873840332,208,3.32815391769466e-40,105,18.5678081512451,199,5.16718999630526e-40,105,38,9.11111111111111,82,129,167,129,256,p0012,GOTM
2014,23.979211807251,209,-0.26986625790596,359,18.4418525695801,232,-0.306467413902283,359,48,6.9,69,183,231,116,257,p0012,GOTM
2015,19.8359222412109,236,-0.000316750229103491,0,18.8144435882568,239,-0.000477640191093087,0,25,7.85714285714286,55,172,197,146,253,p0012,GOTM
2010,26.1025409698486,187,-0.410934329032898,331,20.7938766479492,232,-0.288603067398071,331,15,4,16,217,232,217,250,p0013,GOTM
2011,23.75954246521,189,-5.8357864854346e-16,0,21.59450340271,221,-9.06257596805439e-16,0,70,9.7,97,151,221,111,246,p0013,GOTM
2012,23.437915802002,229,-0.0894503220915794,0,21.0460090637207,233,1.43478292612534e-25,71,48,8.36363636363636,92,157,205,121,255,p0013,GOTM
