year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2014,25.824,206,0,17,18.872,233,0.014039,17,93,46.5,93,140,233,120,233,p0021,FLake
2015,20.717,222,0,0,20.717,222,0.0031513,33,2,1,3,173,175,173,186,p0021,FLake
2011,19.325,208,1.0863,364,13.152,258,1.0863,364,119,119,119,139,258,139,258,p0022,FLake
2012,17.093,218,0,8,17.093,218,0.0052336,343,NA,NA,NA,NA,NA,NA,NA,p0022,FLake
2013,17.446,219,0,0,17.446,219,0.33676,0,NA,NA,NA,NA,NA,NA,NA,p0022,FLake
2014,21.63,207,0,16,11.833,266,0.0067726,16,127,127,127,139,266,139,266,p0022,FLake
2015,16.846,237,0,0,16.846,237,0.0032345,32,NA,NA,NA,NA,NA,NA,NA,p0022,FLake
2011,20.225,210,0.88188,359,8.5683,287,2.0804,362,140,140,140,146,286,146,286,p0023,FLake
2012,18.535,211,0,1,8.4991,286,1.5577,107,142,142,142,141,283,141,283,p0023,FLake
2013,19.172,219,0,0,9.9868,275,1.9078,124,129,129,129,146,275,146,275,p0023,FLake
2014,21.193,221,0,0,11.431,275,1.7626,79,138,138,138,137,275,137,275,p0023,FLake
2015,18.222,238,0,0,15.759,249,1.2853,89,76,76,76,173,249,173,249,p0023,FLake
2011,25.789,191,1.5082,364,12.12,282,1.5082,364,NA,NA,NA,NA,NA,NA,NA,p0024,FLake
2012,23.664,211,0,13,13.321,267,0.7619,74,148,148,148,119,267,119,267,p0024,FLake
2013,23.776,187,0,0,16.041,265,1.6671,0,140,140,140,125,265,125,265,p0024,FLake
2014,27.876,206,0,17,15.216,268,0,17,156,156,156,112,268,112,268,p0024,FLake
2015,22.606,234,0,0,22.602,235,2.0354,362,3,1.33333333333333,8,172,175,160,196,p0024,FLake
2011,23.568,191,1.3558,364,12.686,278,1.3558,364,NA,NA,NA,NA,NA,NA,NA,p0025,FLake
2012,21.892,210,0,9,12.459,266,0.054834,346,145,145,145,121,266,121,266,p0025,FLake
