datetime,Uwind_meterPerSecond,Vwind_meterPerSecond,Surface_Level_Barometric_Pressure_pascal,Air_Temperature_celsius,Relative_Humidity_percent,Precipitation_meterPerSecond,Longwave_Radiation_Downwelling_wattPerMeterSquared,Shortwave_Radiation_Downwelling_wattPerMeterSquared
1996-05-02,-0.619722366333008,-0.297702580690384,100781.203125,3.18450317382803,80.1695938110352,1.75947097886819e-08,286.04052734375,184.31120300293
1996-05-03,-0.880130112171173,-2.27875876426697,100257.65625,1.90636596679701,96.7751235961914,8.63299937918783e-08,305.035339355469,32.4307518005371
1996-05-04,-1.26101672649384,-0.615486323833466,100220.984375,4.07045898437502,95.8611679077148,5.6861958000809e-08,314.035400390625,73.8213882446289
1996-05-05,-0.515190541744232,-1.39282619953156,100249.046875,3.79934082031201,96.1705780029297,8.8136468320954e-08,312.775238037109,61.932056427002
1996-05-06,1.43625450134277,-3.37306380271912,100702.9921875,2.41094360351605,69.4537963867188,1.01573682513845e-08,285.477233886719,156.88037109375
1996-05-07,1.67919433116913,-2.08748149871826,101868.0625,2.78634033203105,48.3878288269043,0,256.06640625,252.369812011719
1996-05-08,2.00928974151611,0.769683003425598,102260.796875,3.67763671875002,56.0111351013184,5.43503983863047e-09,271.527893066406,233.649810791016
1996-05-09,-1.52520394325256,-4.61424541473389,102908.4375,2.33403930664105,48.5418472290039,0,252.343185424805,265.939697265625
1996-05-10,-2.98846507072449,-3.78778624534607,102928.796875,3.12569580078105,48.2840309143066,5.23811104358174e-09,260.616516113281,270.485443115234
1996-05-11,-1.43818628787994,-2.5767982006073,102549.078125,4.32726440429701,84.4454803466797,9.24194318940863e-08,313.750030517578,45.264476776123
1996-05-12,-1.58106482028961,-1.29815077781677,102178.2734375,11.088616943359,73.751838684082,0,300.776885986328,230.820175170898
1996-05-13,0.161869660019875,-0.487101525068283,101832.9609375,14.044305419922,66.1403198242188,0,304.327392578125,234.907272338867
1996-05-14,0.0633756145834923,-2.02357816696167,101176.2265625,11.098962402344,86.4994201660156,1.01034616818652e-07,320.114318847656,158.786117553711
1996-05-15,-1.68983685970306,-3.05735063552856,100950.09375,2.24038085937502,95.8754272460938,1.16190072731115e-07,305.607330322266,69.2555465698242
1996-05-16,-0.679454803466797,-1.30758953094482,101200.203125,1.97359619140605,65.4302139282227,3.64168181476999e-09,296.391357421875,188.609359741211
1996-05-17,-2.49585652351379,0.771994531154633,101501.203125,2.28618774414105,62.3026123046875,7.97128450358286e-09,289.01318359375,206.890609741211
1996-05-18,-3.2193751335144,-1.03569865226746,101744.5703125,0.0574890136720114,77.3555603027344,4.369453927211e-08,306.307586669922,61.7477264404297
1996-05-19,-2.31458520889282,-1.16196465492249,101741.6953125,1.88689575195303,91.8212890625,8.86813722900113e-08,310.307647705078,59.1187629699707
1996-05-20,-2.07772922515869,-0.618761003017426,101491.359375,4.32692871093803,67.8970794677734,5.6406674957543e-09,303.567962646484,164.339584350586
1996-05-21,-2.12414169311523,-0.835560917854309,101611.546875,6.73208007812502,50.7505416870117,1.88585954674636e-09,298.517333984375,202.293914794922
1996-05-22,-0.822149097919464,0.86994457244873,101699.28125,7.46254882812502,53.6321105957031,0,294.363555908203,236.786865234375
1996-05-23,0.0663253664970398,2.42385387420654,101253.796875,6.24318847656201,67.0863952636719,2.46508407144574e-08,292.027252197266,241.790740966797
1996-05-24,-1.25442588329315,2.2593035697937,100345.109375,5.94484863281201,87.4233856201172,9.18956866371445e-08,318.618255615234,151.036849975586
1996-05-25,2.08773469924927,1.03463935852051,99668.3046875,7.50963745117201,69.4779510498047,2.10325815714896e-08,300.274200439453,252.14338684082
1996-05-26,1.39440488815308,-0.856846034526825,99974.5859375,7.15325317382803,64.795280456543,1.36436701723142e-08,284.015747070312,265.326538085938
1996-05-27,-0.471128582954407,-1.5388845205307,100175.375,5.67144165039105,92.5029220581055,1.02750462247059e-07,297.608612060547,173.785293579102
1996-05-28,-0.209107682108879,-2.09846115112305,101154.8515625,5.964685058594,59.7392539978027,2.8700630991807e-09,281.873199462891,265.322052001953
1996-05-29,-0.124947600066662,2.27201676368713,101047.1640625,5.186761474609,80.0020217895508,3.03988945233868e-08,303.783569335938,94.9203872680664
1996-05-30,0.848793089389801,0.39228168129921,101601.2109375,9.19606933593803,57.518310546875,0,287.196044921875,305.684783935547
