year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,26.839,201,5.0786,27,7.2971,348,5.0762,38,224,224,224,99,323,99,323,p0015,FLake
2014,24.687,205,5.066,44,8.1445,335,5.0605,46,239,239,239,83,322,83,322,p0015,FLake
2009,4.3513,364,4.3513,364,4.3513,364,4.3513,364,NA,NA,NA,NA,NA,NA,NA,p0016,FLake
2010,16.088,195,0.058364,361,6.8879,326,2.7776,13,190,190,190,124,314,124,314,p0016,FLake
2011,15.004,194,0,1,8.8445,329,2.936,33,187,187,187,121,308,121,308,p0016,FLake
2012,15.107,232,5.325,352,9.3406,290,5.325,352,129,129,129,150,279,150,279,p0016,FLake
2013,18.064,208,3.6675,93,7.4485,322,3.6675,93,169,169,169,139,308,139,308,p0016,FLake
2014,16.367,205,4.2865,46,7.7916,327,4.2718,48,197,197,197,115,312,115,312,p0016,FLake
2009,5.0717,364,5.0717,364,5.0717,364,5.0717,364,NA,NA,NA,NA,NA,NA,NA,p0017,FLake
2010,20.827,171,1.5278,361,5.6391,334,3.5351,13,229,229,229,96,325,96,325,p0017,FLake
2011,21.357,193,1.4272,12,8.4907,335,3.1812,19,248,248,248,82,330,82,330,p0017,FLake
2012,20.104,222,5.9499,33,10.025,302,5.9385,36,208,104.5,209,85,293,85,297,p0017,FLake
2013,25.013,200,5.2429,27,10.398,307,5.2429,27,190,190,190,113,303,113,303,p0017,FLake
2014,22.759,205,5.0394,44,9.0525,323,5.0394,44,221,221,221,91,312,91,312,p0017,FLake
2009,5.069,364,5.069,364,5.069,364,5.069,364,NA,NA,NA,NA,NA,NA,NA,p0018,FLake
2010,21.445,171,3.5703,359,7.5743,328,3.5703,359,221,75.3333333333333,226,95,316,86,316,p0018,FLake
2011,21.522,193,2.2117,9,7.4091,340,3.4705,14,249,249,249,84,333,84,333,p0018,FLake
2012,20.426,224,5.8448,33,10.358,302,5.8361,36,192,192,192,101,293,101,293,p0018,FLake
2013,25.423,200,5.1751,27,9.2491,314,5.164,38,200,200,200,108,308,108,308,p0018,FLake
2014,23.197,205,5.0246,44,8.1436,331,5.0246,44,233,233,233,87,320,87,320,p0018,FLake
2009,4.7861,364,4.7861,364,4.7861,364,4.7861,364,NA,NA,NA,NA,NA,NA,NA,p0019,FLake
2010,19.03,195,2.7552,358,11.359,295,2.8279,359,176,176,176,115,291,115,291,p0019,FLake
2011,19.473,193,2.7321,8,11.715,292,2.7321,8,194,194,194,97,291,97,291,p0019,FLake
2012,18.192,229,5.8219,33,13.018,270,5.8151,36,121,121,121,147,268,147,268,p0019,FLake
2013,23.079,200,5.0364,27,12.348,297,5.0364,27,143,143,143,145,288,145,288,p0019,FLake
2014,21.225,205,4.8412,44,11.151,299,4.8412,44,190,190,190,104,294,104,294,p0019,FLake
2009,4.7956,364,4.7956,364,4.7956,364,4.7956,364,NA,NA,NA,NA,NA,NA,NA,p0020,FLake
2010,18.203,195,1.2969,361,8.0382,322,3.2786,13,205,205,205,107,312,107,312,p0020,FLake
2011,18.51,193,0.85928,13,7.5976,338,3.414,34,235,235,235,98,333,98,333,p0020,FLake
2012,18.082,226,5.6554,33,10.762,287,5.6499,36,142,48,144,136,278,129,278,p0020,FLake
2013,22.057,202,4.8504,56,8.6263,314,4.8002,56,187,187,187,120,307,120,307,p0020,FLake
2014,19.984,205,4.6866,44,8.6726,323,4.6866,44,207,207,207,104,311,104,311,p0020,FLake
2009,4.502,364,4.502,364,4.502,364,4.502,364,NA,NA,NA,NA,NA,NA,NA,p0021,FLake
2010,17.073,195,0.25618,361,7.0058,327,2.9558,13,196,98.5,197,118,314,115,314,p0021,FLake
2011,16.15,194,0.032181,2,8.9255,329,3.2282,34,195,195,195,114,309,114,309,p0021,FLake
2012,16.336,226,5.4006,352,8.3062,305,5.4006,352,168,168,168,123,291,123,291,p0021,FLake
2013,19.861,202,4.1852,89,7.5814,322,4.1402,92,182,182,182,127,309,127,309,p0021,FLake
2014,17.433,205,4.4239,46,7.9375,327,4.4112,48,203,203,203,109,312,109,312,p0021,FLake
2009,4.3968,364,4.3968,364,4.3968,364,4.3968,364,NA,NA,NA,NA,NA,NA,NA,p0022,FLake
2010,15.974,195,0.78854,59,6.4422,329,3.5006,76,192,192,192,123,315,123,315,p0022,FLake
2011,15.634,194,0,23,7.1239,339,3.4163,53,218,109.5,219,112,330,112,333,p0022,FLake
2012,15.453,232,5.3578,33,9.3163,297,5.3578,33,130,130,130,151,281,151,281,p0022,FLake
2013,18.07,208,3.7887,92,6.8656,346,3.7887,92,175,175,175,135,310,135,310,p0022,FLake
2014,16.564,206,4.272,46,8.2134,323,4.2478,48,181,181,181,129,310,129,310,p0022,FLake
2009,5.0912,364,5.0912,364,5.0912,364,5.0912,364,NA,NA,NA,NA,NA,NA,NA,p0023,FLake
2010,21.703,167,3.3778,359,11.801,298,3.3778,359,189,189,189,105,294,105,294,p0023,FLake
2011,22.388,193,3.2317,8,9.9522,326,3.2317,8,231,231,231,80,311,80,311,p0023,FLake
2012,21.19,222,6.0858,33,13.922,271,6.0696,36,144,144,144,125,269,125,269,p0023,FLake
2013,25.611,200,5.3397,27,14.079,287,5.3397,27,142,142,142,141,283,141,283,p0023,FLake
2014,23.532,205,5.2049,44,11.24,306,5.2049,44,203,102,204,94,297,94,300,p0023,FLake
2009,4.8171,364,4.8171,364,4.8171,364,4.8171,364,NA,NA,NA,NA,NA,NA,NA,p0024,FLake
2010,20.175,171,2.8171,358,6.8592,330,3.0149,360,222,222,222,97,319,97,319,p0024,FLake
2011,20.579,193,2.7259,10,9.4397,328,3.0214,7,215,215,215,96,311,96,311,p0024,FLake
2012,19.613,222,5.9129,33,9.8168,302,5.9016,36,205,205,205,86,291,86,291,p0024,FLake
2013,24.336,200,5.1637,27,9.9504,309,5.1637,27,187,187,187,116,303,116,303,p0024,FLake
2014,22.114,205,4.9447,44,10.125,312,4.9447,44,207,207,207,99,306,99,306,p0024,FLake
2009,4.439,364,4.439,364,4.439,364,4.439,364,NA,NA,NA,NA,NA,NA,NA,p0025,FLake
2010,16.695,195,0.5442,361,6.6592,328,2.9108,13,196,196,196,119,315,119,315,p0025,FLake
2011,15.94,194,0.07727,12,7.6833,337,3.028,34,221,221,221,107,328,107,328,p0025,FLake
2012,15.688,232,5.4356,352,9.5058,292,5.4356,352,133,133,133,148,281,148,281,p0025,FLake
2013,18.615,208,3.9742,92,7.1525,324,3.9742,92,174,174,174,135,309,135,309,p0025,FLake
2014,16.939,205,4.3522,46,7.7274,328,4.3319,48,201,201,201,112,313,112,313,p0025,FLake
2009,4.8398,364,4.8398,364,4.8398,364,4.8398,364,NA,NA,NA,NA,NA,NA,NA,p0026,FLake
2010,19.658,175,1.956,361,6.4987,331,3.4386,13,220,220,220,99,319,99,319,p0026,FLake
2011,19.617,194,1.1281,29,8.0561,337,3.5822,48,229,229,229,98,327,98,327,p0026,FLake
2012,19.081,226,5.6623,33,9.7885,302,5.6561,36,189,189,189,103,292,103,292,p0026,FLake
2013,23.083,202,4.8436,36,7.4155,107,3.97999999999998,276,208,208,208,116,324,116,324,p0026,FLake
2014,21.564,205,4.5512,44,7.7581,333,4.5512,44,226,226,226,94,320,94,320,p0026,FLake
2009,5.533,364,5.533,364,5.533,364,5.533,364,NA,NA,NA,NA,NA,NA,NA,p0027,FLake
2010,24.195,171,4.1689,13,8.5192,326,4.1621,14,231,231,231,84,315,84,315,p0027,FLake
2011,23.743,194,3.3922,31,7.2633,342,3.8549,8,259,259,259,75,334,75,334,p0027,FLake
2012,23.254,223,5.7014,33,8.6077,324,5.6947,36,235,235,235,72,307,72,307,p0027,FLake
2013,27.917,201,5.2339,27,8.199,326,5.2339,27,225,225,225,91,316,91,316,p0027,FLake
2014,25.384,205,5.2553,44,8.7113,330,5.2553,44,239,239,239,81,320,81,320,p0027,FLake
2009,4.4656,364,4.4656,364,4.4656,364,4.4656,364,NA,NA,NA,NA,NA,NA,NA,p0028,FLake
2010,18.958,176,1.7571,45,5.7462,333,3.7088,66,213,213,213,105,318,105,318,p0028,FLake
2011,18.54,194,0.79831,29,5.6627,349,3.9277,2,235,235,235,98,333,98,333,p0028,FLake
2012,18.546,232,4.6384,33,6.2968,332,4.6196,36,221,221,221,87,308,87,308,p0028,FLake
2013,21.362,202,4.0281,56,5.8803,105,3.97999999999998,234,209,209,209,117,326,117,326,p0028,FLake
2014,20.422,205,4.2179,44,6.6313,342,4.2004,46,221,221,221,100,321,100,321,p0028,FLake
2009,4.6092,364,4.6092,364,4.6092,364,4.6092,364,NA,NA,NA,NA,NA,NA,NA,p0029,FLake
2010,17.793,195,1.1993,361,7.8261,323,3.0451,13,202,202,202,110,312,110,312,p0029,FLake
2011,17.314,194,0.83297,12,9.6296,317,3.1926,33,190,96,192,110,300,110,304,p0029,FLake
2012,17.182,226,5.6425,352,10.141,289,5.6415,36,140,140,140,140,280,140,280,p0029,FLake
2013,21.083,202,4.6407,89,8.5029,314,4.6407,89,183,183,183,125,308,125,308,p0029,FLake
2014,18.855,205,4.5688,44,8.6008,322,4.5687,48,204,204,204,107,311,107,311,p0029,FLake
2009,4.4006,364,4.4006,364,4.4006,364,4.4006,364,NA,NA,NA,NA,NA,NA,NA,p0030,FLake
2010,16.562,195,0.070554,361,6.8499,327,2.8397,13,192,192,192,122,314,122,314,p0030,FLake
2011,15.393,194,0,2,8.8343,329,3.0931,33,189,189,189,119,308,119,308,p0030,FLake
2012,15.437,232,5.3829,352,9.5263,289,5.3829,352,130,130,130,149,279,149,279,p0030,FLake
2013,18.386,208,3.8364,93,7.3825,323,3.8364,93,173,173,173,136,309,136,309,p0030,FLake
2014,16.697,205,4.3275,46,7.8051,327,4.3123,48,199,199,199,113,312,113,312,p0030,FLake
2009,4.9107,364,4.9107,364,4.9107,364,4.9107,364,NA,NA,NA,NA,NA,NA,NA,p0031,FLake
2010,20.926,171,3.1098,358,9.4232,314,3.1377,359,204,204,204,105,309,105,309,p0031,FLake
2011,21.67,193,3.0123,8,9.6226,328,3.0123,8,229,229,229,82,311,82,311,p0031,FLake
2012,20.567,222,6.004,33,13.451,273,5.9905,36,143,143,143,126,269,126,269,p0031,FLake
2013,24.873,200,5.2658,27,13.529,289,5.2658,27,142,142,142,142,284,142,284,p0031,FLake
2014,22.944,205,5.101,44,10.883,307,5.101,44,205,103.5,207,96,301,96,304,p0031,FLake
2009,4.229,364,4.229,364,4.229,364,4.229,364,NA,NA,NA,NA,NA,NA,NA,p0032,FLake
2010,17.469,206,0.84405,45,5.79,332,3.4916,76,200,200,200,115,315,115,315,p0032,FLake
2011,16.673,214,0.33522,29,4.3404,364,3.9342,2,221,221,221,113,334,113,334,p0032,FLake
